region;area;city;settlement;street;house
Кировская обл;;г Киров;;ул Мельничная;18
Кировская обл;;г Киров;;ул Северное Кольцо;10
Псковская обл;;г Псков;;ул Леона Поземского;108
Нижегородская обл;;г Нижний Новгород;;ул Ларина;19А
Респ Башкортостан;;г Стерлитамак;;ул 23 Мая;34Б
Вологодская обл;;г Череповец;;ш Кирилловское;53Б
Тюменская обл;;г Тюмень;;ул Уездная;2
Респ Коми;;г Сыктывкар;;пер Индустриальный;7
Архангельская обл;;г Северодвинск;;ш Архангельское;19
Московская обл;г Ногинск;;;ул 5-ая Доможировская;4
Краснодарский край;Кавказский р-н;г Кропоткин;;ул Авиационная;114
г Москва;;;;ул Коштоянца;12
Омская обл;;г Омск;;ул Заводская;1
Респ Хакасия;Усть-Абаканский р-н;;с Калинино;ул Ленина;58В
Ульяновская обл;;г Ульяновск;;ул Урицкого;100
Ставропольский край;;г Ставрополь;;ш Михайловское;7
Пермский край;;г Пермь;;ул Сухобруса;12
Свердловская обл;;г Екатеринбург;;ул Спутников;1А
Смоленская обл;Вяземский р-н;г Вязьма;;ул Панино;7
Челябинская обл;;г Снежинск;;пр-кт им К.И.Щелкина;40
Респ Хакасия;;г Абакан;;ул Ленинского Комсомола;91
Приморский край;;г Уссурийск;;ул Краснознаменная;198В
Челябинская обл;;г Троицк;;ул Окружная;1А
Респ Удмуртская;;г Сарапул;;ул Озерная;23
Респ Удмуртская;;г Сарапул;;ул Азина;152
Вологодская обл;;г Вологда;;ул Медуницинская;19
Респ Башкортостан;;г Уфа;;ул Баязита Бикбая;1
Курганская обл;;г Курган;;ул Омская;163
Липецкая обл;;г Липецк;;ул Шерстобитова С.М.;9
Респ Башкортостан;Белорецкий р-н;г Белорецк;;ул Алексеева;158
г Москва;;;;пр-кт Балаклавский;28
Свердловская обл;;г Первоуральск;;ул Строителей;16
Иркутская обл;;г Иркутск;мкр Приморский;;22А
Белгородская обл;;г Белгород;;ул Корочанская;148А
Нижегородская обл;;г Нижний Новгород;;ул Карла Маркса;60В
Хабаровский край;;г Хабаровск;;ул Морозова Павла Леонтьевича;69
Ярославская обл;;г Ярославль;;ул Магистральная;7
Воронежская обл;;г Воронеж;;ул Хользунова;122
Респ Башкортостан;;г Уфа;;ул им. города Галле;34
Иркутская обл;;г Черемхово;;ул Первомайская;203
